code_postale;label;lat;long
13910;maillane;43.82310965;4.7849148150000005
13117;martigues;43.379764276;5.049565722
13520;maussane les alpilles;43.714424312;4.832972989
13150;st pierre de mezoargues;43.860972417;4.657077815
13140;miramas;43.584165604;5.013905402
13520;paradou;43.708352976;4.778037373
13330;pelissanne;43.630857227;5.159858901
13124;peypin;43.384453702;5.571560948
13750;plan d orgon;43.817770158;5.002505597
13110;port de bouc;43.42352416;4.992071202
13230;port st louis du rhone;43.416405935;4.805565377
13114;puyloubier;43.518828262;5.677622961
13100;st antonin sur bayon;43.516742412;5.593739751
13310;st martin de crau;43.612027918;4.856371905
13920;st mitre les remparts;43.455465623;5.01513305
13300;salon de provence;43.646321793;5.067827841
13470;carnoux en provence;43.258624794;5.566047602
13001;marseille;43.299974296;5.382708717
13002;marseille;43.31475581;5.361219235
13004;marseille;43.306645714;5.401052873
13005;marseille;43.292388629;5.398198756
13129;arles;43.546935152;4.661799679
13330;la barben;43.618905807;5.213167295
13950;cadolive;43.394299567;5.533107563
13600;ceyreste;43.223774487;5.636120431
13790;chateauneuf le rouge;43.491237842;5.568948172
13780;cuges les pins;43.28081467;5.710091739
13430;eyguieres;43.702739271;5.015680782
13630;eyragues;43.842877065;4.843612704
13700;marignane;43.417591878;5.212042791
13590;meyreuil;43.490858696;5.500425
13105;mimet;43.412567924;5.49840573
13940;molleges;43.80510551;4.949319831
13790;peynier;43.439753284;5.625452162
13610;le puy ste reparade;43.651614011;5.439714957
13840;rognes;43.664860999;5.352064736
13790;rousset;43.483978045;5.624362028
13460;saintes maries de la mer;43.504170486;4.46441678
13109;simiane collongue;43.411463612;5.437590923
13126;vauvenargues;43.558732568;5.612876318
13770;venelles;43.593269699;5.490760987
13015;marseille;43.359489341;5.363363082
83600;les adrets de l esterel;43.535505556;6.811387044
83840;le bourguet;43.78016478;6.503998008
83170;brignoles;43.399401712;6.077259026
83340;cabasse;43.427086333;6.232278755
83440;callian;43.61253718;6.757001087
83570;carces;43.469117875;6.177308069
83320;carqueiranne;43.09688902;6.071635417
83330;le castellet;43.227233319;5.765774017
83170;la celle;43.384615543;5.999693088
83610;collobrieres;43.241371951;6.339999351
83840;comps sur artuby;43.703599458;6.503063279
83330;evenos;43.186355963;5.872957836
83830;figanieres;43.567375768;6.498391155
83136;forcalqueiret;43.33654789;6.091094959
83670;fox amphoux;43.595364309;6.109336549
83600;frejus;43.471998616;6.7637263690000005
83560;ginasservis;43.658988789;5.837137853
83400;hyeres;43.116948473;6.158103808
83980;le lavandou;43.166030286;6.412733795
83840;la martre;43.76343156;6.59252078
83670;montmeyan;43.648454369;6.061222773
83920;la motte;43.507734582;6.551031463
83390;pierrefeu du var;43.234569411;6.179362727
83640;plan d aups ste baume;43.333871991;5.739107267
83670;ponteves;43.550811651;6.062671454
83630;regusse;43.667666423;6.117347402
83200;le revest les eaux;43.182545234;5.94517791
83560;rians;43.605503094;5.741068102
83136;rocbaron;43.306502423;6.084022816
83120;ste maxime;43.35649617;6.611646935
83470;st maximin la ste baume;43.45100522;5.859376342
83530;st raphael;43.457632505;6.8474878320000006
83470;seillons source d argens;43.515007854;5.877309853
83670;tavernes;43.600500324;6.021177685
83200;toulon;43.136537115;5.93259923
83440;tourrettes;43.613976739;6.723702651
83560;la verdiere;43.646725514;5.952334128
83630;verignon;43.662354537;6.276715147
83170;vins sur caramy;43.432791744;6.14944646
83430;st mandrier sur mer;43.075854063;5.927093074
83510;st antonin du var;43.511291969;6.289491568
84400;auribeau;43.829840255;5.447994919
84340;beaumont du ventoux;44.182508183;5.213201099
84410;bedoin;44.137350993;5.234739322
84390;brantes;44.185341393;5.3321514
84480;buoux;43.821582038;5.374537687
84240;cabrieres d aigues;43.791049388;5.492092378
84400;castellet en luberon;43.834725457;5.481243201
84470;chateauneuf de gadagne;43.928059236;4.942552354
84110;crestet;44.210479281;5.086133454
84320;entraigues sur la sorgue;43.995554865;4.932743838
84190;gigondas;44.1663461;5.012136134
84220;gordes;43.909437899;5.198111507
84600;grillon;44.394592544;4.93442808
84290;lagarde pareol;44.227479406;4.8512719650000005
84840;lamotte du rhone;44.276442512;4.675412628
84220;lioux;43.979628899;5.309017016
84220;murs;43.964977499;5.242867383
84580;oppede;43.831476862;5.170066721
84110;puymeras;44.285140791;5.136768959
84110;rasteau;44.232328945;4.980417299
84440;robion;43.851701357;5.110242206
84210;la roque sur pernes;43.974284564;5.10234
84220;roussillon;43.901341521;5.292125185
84290;ste cecile les vignes;44.235735946;4.889253722
84750;st martin de castillon;43.85513174;5.519311045
84290;st roman de malegarde;44.262539847;4.956138782
84390;sault;44.073121359;5.399033015
84110;seguret;44.216454446;5.028714495
84400;sivergues;43.822769493;5.416110847
84160;vaugines;43.778263798;5.406083095
84740;velleron;43.961420103;5.028204235
84210;venasque;43.985277605;5.16499235
83460;les arcs;43.451060353;6.489705497
83600;bagnols en foret;43.533274119;6.708934374
83150;bandol;43.147802391;5.747556336
83210;belgentier;43.239831488;5.996173887
83890;besse sur issole;43.339966739;6.1779088380000005
83119;brue auriac;43.527567689;5.937031994
83740;la cadiere d azur;43.203491632;5.725122471
83300;chateaudouble;43.623888872;6.435755229
83670;chateauvert;43.501301323;6.01101037
83840;chateauvieux;43.788294257;6.596183055
83260;la crau;43.163501013;6.09283597
83570;entrecasteaux;43.511361565;6.234750523
83560;esparron;43.587265552;5.8488503210000005
83440;fayence;43.61027871;6.678510678
83440;montauroux;43.598693914;6.789332841
83190;ollioules;43.139064375;5.854110349
83790;pignans;43.296765224;6.253968886
83480;puget sur argens;43.471922589;6.686208116
83380;roquebrune sur argens;43.428640587;6.651852932
83136;la roquebrussanne;43.336957299;5.983728661
83136;ste anastasie sur issole;43.333370774;6.124850912
83270;st cyr sur mer;43.172604284;5.708900987
83560;st julien;43.700018425;5.9145497680000005
83990;st tropez;43.262398306;6.663587018
83690;salernes;43.561684829;6.228989057
83110;sanary sur mer;43.13878141;5.795702599
83500;la seyne sur mer;43.08924215;5.870866841
83140;six fours les plages;43.0863928;5.827525565
83210;sollies ville;43.178261675;6.017938691
